,course_len,turn,weather,race_type,ground_state,date,class,race_num,day,kai,prize,horse_id,jockey_id,bracket_num,horse_num,weight_carry,sex,age,odds,rank,month_sin,month_cos,n_horses,breeder_id,birthday,owner_id,trainer_id,p_rece_num_1R,p_remark_1R,p_order_1R,p_first_corner_1R,p_final_corner_1R,p_first_to_rank_1R,p_first_to_final_1R,p_final_to_rank_1R,p_last3F_1R,p_time_idx_1R,p_ground_state_idx_1R,p_rece_num_2R,p_remark_2R,p_order_2R,p_first_corner_2R,p_final_corner_2R,p_first_to_rank_2R,p_first_to_final_2R,p_final_to_rank_2R,p_last3F_2R,p_time_idx_2R,p_ground_state_idx_2R,p_rece_num_3R,p_remark_3R,p_order_3R,p_first_corner_3R,p_final_corner_3R,p_first_to_rank_3R,p_first_to_final_3R,p_final_to_rank_3R,p_last3F_3R,p_time_idx_3R,p_ground_state_idx_3R,interval
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,9059,6,1,1,54.0,0,2,31.1,0,-0.431672852473784,-0.9020302369860707,7,1313,20150411.0,301,183,5.0,0.0,5.0,4.0,4.0,-1.0,0.0,-1.0,36.1,45.0,-2.0,5.0,0.0,5.0,4.0,4.0,-1.0,0.0,-1.0,36.1,45.0,-2.0,5.0,0.0,5.0,4.0,4.0,-1.0,0.0,-1.0,36.1,45.0,-2.0,13.0
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,8857,112,2,2,53.0,0,2,22.8,0,-0.431672852473784,-0.9020302369860707,7,1311,20150315.0,2315,90,5.0,0.0,4.0,2.0,2.0,-2.0,0.0,-2.0,37.0,51.0,-9.0,5.0,0.0,4.0,2.0,2.0,-2.0,0.0,-2.0,37.0,51.0,-9.0,5.0,0.0,4.0,2.0,2.0,-2.0,0.0,-2.0,37.0,51.0,-9.0,27.0
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,8548,62,3,3,54.0,1,2,3.0,10,-0.431672852473784,-0.9020302369860707,7,1152,20150328.0,1542,79,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,35.2,84.0,-7.0,6.0,0.0,2.0,1.0,1.0,-1.0,0.0,-1.0,34.0,76.0,-10.0,6.0,0.0,2.0,1.0,1.0,-1.0,0.0,-1.0,34.0,76.0,-10.0,20.0
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,9202,110,4,4,53.0,0,2,82.9,0,-0.431672852473784,-0.9020302369860707,7,1067,20150220.0,1166,522,1.0,0.0,5.0,2.0,3.0,-3.0,-1.0,-2.0,38.4,55.0,2.0,5.0,0.0,6.0,4.0,6.0,-2.0,-2.0,0.0,37.7,47.0,-13.0,5.0,0.0,6.0,4.0,6.0,-2.0,-2.0,0.0,37.7,47.0,-13.0,7.0
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,10177,177,5,5,54.0,0,2,1.5,5,-0.431672852473784,-0.9020302369860707,7,0,20150503.0,335,161,1.0,0.0,2.0,7.0,8.0,5.0,-1.0,6.0,33.8,76.0,-16.0,5.0,0.0,3.0,6.0,4.0,3.0,2.0,1.0,33.9,72.0,-15.0,5.0,0.0,3.0,6.0,4.0,3.0,2.0,1.0,33.9,72.0,-15.0,35.0
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,8333,122,6,6,53.0,1,2,65.0,0,-0.431672852473784,-0.9020302369860707,7,144,20150416.0,1990,149,5.0,0.0,9.0,10.0,10.0,1.0,0.0,1.0,35.8,47.0,-13.0,5.0,0.0,9.0,10.0,10.0,1.0,0.0,1.0,35.8,47.0,-13.0,5.0,0.0,9.0,10.0,10.0,1.0,0.0,1.0,35.8,47.0,-13.0,27.0
201701010101,18.0,0.0,0,0,0,2017-07-29,1.0,1,1,1,500.0,10452,25,7,7,54.0,0,2,6.2,3,-0.431672852473784,-0.9020302369860707,7,174,20150514.0,1208,10,5.0,0.0,4.0,3.0,3.0,-1.0,0.0,-1.0,35.0,55.0,-13.0,5.0,0.0,4.0,3.0,3.0,-1.0,0.0,-1.0,35.0,55.0,-13.0,5.0,0.0,4.0,3.0,3.0,-1.0,0.0,-1.0,35.0,55.0,-13.0,14.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,7505,111,1,1,53.0,1,3,114.1,0,-0.431672852473784,-0.9020302369860707,12,633,20140130.0,2261,194,3.0,1.0,14.0,13.0,13.0,-1.0,0.0,-1.0,38.4,50.0,-8.0,2.0,0.0,12.0,8.0,8.0,-4.0,0.0,-4.0,36.4,53.0,-6.0,5.0,0.0,9.0,2.0,2.0,-7.0,0.0,-7.0,35.9,50.0,-22.0,20.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,6475,129,2,2,51.0,1,3,11.2,0,-0.431672852473784,-0.9020302369860707,12,94,20140228.0,1563,397,4.0,0.0,15.0,2.0,2.0,-13.0,0.0,-13.0,37.7,66.0,-17.0,1.0,0.0,14.0,3.0,2.0,-11.0,1.0,-12.0,40.0,59.0,4.0,5.0,0.0,12.0,1.0,3.0,-11.0,-2.0,-9.0,38.4,60.0,3.0,34.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,6681,167,3,3,54.0,1,3,61.6,0,-0.431672852473784,-0.9020302369860707,12,1551,20140504.0,417,430,1.0,1.0,6.0,13.0,6.0,7.0,7.0,0.0,39.4,67.0,1.0,6.0,1.0,14.0,15.0,11.0,1.0,4.0,-3.0,35.4,60.0,-12.0,3.0,1.0,10.0,14.0,8.0,4.0,6.0,-2.0,39.6,54.0,4.0,27.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,4849,6,4,4,54.0,1,3,12.6,0,-0.431672852473784,-0.9020302369860707,12,233,20140421.0,417,4,6.0,0.0,4.0,2.0,2.0,-2.0,0.0,-2.0,37.4,72.0,-10.0,3.0,0.0,8.0,6.0,6.0,-2.0,0.0,-2.0,37.9,71.0,-3.0,3.0,0.0,9.0,9.0,8.0,0.0,1.0,-1.0,38.3,66.0,-16.0,35.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,5615,122,5,5,53.0,1,3,4.8,3,-0.431672852473784,-0.9020302369860707,12,806,20140315.0,1581,71,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,35.8,79.0,-16.0,7.0,0.0,4.0,3.0,3.0,-1.0,0.0,-1.0,40.3,50.0,5.0,1.0,1.0,6.0,10.0,9.0,4.0,1.0,3.0,38.2,62.0,0.0,6.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,6035,110,5,6,53.0,1,3,39.7,0,-0.431672852473784,-0.9020302369860707,12,975,20140301.0,359,515,7.0,0.0,12.0,10.0,14.0,-2.0,-4.0,2.0,37.7,73.0,-7.0,2.0,0.0,7.0,5.0,4.0,-2.0,1.0,-3.0,39.2,73.0,-2.0,5.0,0.0,9.0,9.0,10.0,0.0,-1.0,1.0,36.1,69.0,-12.0,20.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,5257,102,6,7,54.0,1,3,66.7,0,-0.431672852473784,-0.9020302369860707,12,361,20140407.0,1614,449,3.0,0.0,10.0,7.0,7.0,-3.0,0.0,-3.0,36.4,61.0,-7.0,7.0,0.0,9.0,8.0,8.0,-1.0,0.0,-1.0,40.0,38.0,-12.0,1.0,0.0,7.0,4.0,5.0,-3.0,-1.0,-2.0,37.3,73.0,-14.0,28.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,5185,76,6,8,54.0,1,3,47.1,0,-0.431672852473784,-0.9020302369860707,12,596,20140329.0,575,473,4.0,0.0,10.0,9.0,9.0,-1.0,0.0,-1.0,35.6,82.0,-5.0,8.0,1.0,11.0,5.0,6.0,-6.0,-1.0,-5.0,35.6,77.0,-14.0,1.0,0.0,12.0,7.0,6.0,-5.0,1.0,-6.0,35.4,72.0,-24.0,13.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,5936,25,7,9,54.0,1,3,3.8,0,-0.431672852473784,-0.9020302369860707,12,1419,20140216.0,1545,157,7.0,0.0,6.0,1.0,2.0,-5.0,-1.0,-4.0,41.0,45.0,5.0,8.0,0.0,2.0,1.0,1.0,-1.0,0.0,-1.0,39.8,70.0,-6.0,1.0,0.0,4.0,1.0,1.0,-3.0,0.0,-3.0,37.6,71.0,-5.0,17.0
201701010102,10.0,0.0,0,1,0,2017-07-29,1.0,2,1,1,500.0,5166,107,7,10,53.0,1,3,3.0,10,-0.431672852473784,-0.9020302369860707,12,202,20140504.0,2315,146,2.0,0.0,3.0,6.0,4.0,3.0,2.0,1.0,36.1,73.0,-7.0,2.0,0.0,2.0,3.0,4.0,1.0,-1.0,2.0,36.2,81.0,-6.0,2.0,0.0,7.0,3.0,5.0,-4.0,-2.0,-2.0,37.2,74.0,-3.0,20.0
